iter	RMSE
0	1.319146886
1	1.315342216
2	1.31059694
3	1.307072702
4	1.302512952
5	1.300875072
6	1.297536063
7	1.293579973
8	1.289496129
9	1.286397775
10	1.283414424
11	1.280610133
12	1.278344218
13	1.275820839
14	1.273367725
15	1.270157406
16	1.267937729
17	1.265562899
18	1.263754272
19	1.261629844
20	1.258883163
21	1.256370762
22	1.25468833
23	1.25322443
24	1.251166437
25	1.249679869
26	1.248055894
27	1.246387552
28	1.244840035
29	1.243029137
30	1.241798007
31	1.240025122
32	1.238974757
33	1.237796505
34	1.236970964
35	1.235610511
36	1.233796638
37	1.232523262
38	1.231584574
39	1.230604865
40	1.229758169
41	1.228939654
42	1.228308188
43	1.227363345
44	1.226042185
45	1.22503951
46	1.223952753
47	1.222880327
48	1.222228898
49	1.221535024
50	1.220665957
51	1.219884227
52	1.219123367
53	1.218430543
54	1.21764629
55	1.216803671
56	1.216144215
57	1.215480828
58	1.214871188
59	1.214302904
60	1.213451984
61	1.212914224
62	1.212467467
63	1.21175011
64	1.210854262
65	1.210450271
66	1.209745519
67	1.20925663
68	1.208550964
69	1.208370814
70	1.207872154
71	1.207638593
72	1.20721979
73	1.206849248
74	1.206334868
75	1.205757946
76	1.205354687
77	1.205000818
78	1.204348556
79	1.204171175
80	1.2038472
81	1.203673913
82	1.203270517
83	1.202873745
84	1.202432017
85	1.202120216
86	1.20184049
87	1.201414764
88	1.201120206
89	1.20110599
90	1.20090343
91	1.200855874
92	1.200463282
93	1.19997763
94	1.199722593
95	1.199294192
96	1.199119177
97	1.198886078
98	1.198367307
99	1.198061788
100	1.197859779
101	1.197848638
102	1.19761352
103	1.197250988
104	1.196836217
105	1.196619064
106	1.196320497
107	1.196199517
108	1.195903718
109	1.19580245
110	1.195504636
111	1.195192405
112	1.194660927
113	1.194583194
114	1.194434833
115	1.194327648
116	1.194066608
117	1.193777941
118	1.19368941
119	1.193441322
120	1.193194115
121	1.192960377
122	1.192761026
123	1.192584158
124	1.192411367
125	1.192095668
126	1.19177982
127	1.191583366
128	1.191442189
129	1.191169439
130	1.190750959
131	1.190571182
132	1.190392833
133	1.190362885
134	1.190349335
135	1.190146762
136	1.189894027
137	1.189749785
138	1.189740064
139	1.189508907
140	1.18944136
141	1.189425848
142	1.189286546
143	1.189097714
144	1.189005938
145	1.188884522
146	1.188859779
147	1.188791218
148	1.188650467
149	1.188582693
150	1.188547654
151	1.188425299
152	1.188243816
153	1.188121107
154	1.187987351
155	1.187760235
156	1.187372885
157	1.187311036
158	1.187199733
159	1.187086288
160	1.187000398
161	1.186906666
162	1.186665585
163	1.186486341
164	1.186466151
165	1.186453964
166	1.186384221
167	1.18628242
168	1.186224272
169	1.186134
170	1.185983949
171	1.185876398
172	1.185820549
173	1.185807693
174	1.185789691
175	1.185682153
176	1.18560985
177	1.185428645
178	1.185349676
179	1.185248205
180	1.185161681
181	1.185078365
182	1.185053921
183	1.185019481
184	1.185019481
185	1.184949524
186	1.184853496
187	1.184819583
188	1.184789589
189	1.184712425
190	1.184651271
191	1.184619474
192	1.184594601
193	1.184426824
194	1.184394838
195	1.184085368
196	1.18403547
197	1.184018466
198	1.183923484
199	1.183832089
200	1.183766514
201	1.183720523
202	1.183717735
203	1.183582423
204	1.183479828
205	1.183386518
206	1.183357557
207	1.183143641
208	1.182986072
209	1.182897568
210	1.182767871
211	1.182651686
212	1.182582527
213	1.182541508
214	1.182518688
215	1.182490678
216	1.182196755
217	1.182153229
218	1.182111181
219	1.182106963
220	1.1820781
221	1.182076432
222	1.182042186
223	1.181910392
224	1.181851776
225	1.181492305
226	1.181366462
227	1.181275763
228	1.1812722
229	1.181240832
230	1.181197895
231	1.18116719
232	1.181142152
233	1.181038219
234	1.180930264
235	1.180901328
236	1.180896605
237	1.180767252
238	1.180726963
239	1.180627047
240	1.180623565
241	1.180585236
242	1.180480689
243	1.180344035
244	1.180277633
245	1.180194394
246	1.180171706
247	1.180121155
248	1.179782547
249	1.179714878
250	1.179680055
251	1.179409657
252	1.179280778
253	1.179265179
254	1.178996149
255	1.178916261
256	1.178823643
257	1.178740803
258	1.178642738
259	1.178550527
260	1.178444464
261	1.178415029
262	1.17819585
263	1.178151989
264	1.17810916
265	1.178087669
266	1.178048505
267	1.178015854
268	1.177947601
269	1.177942835
270	1.177836463
271	1.17776818
272	1.177635565
273	1.177632651
274	1.177560092
275	1.177400857
276	1.177349669
277	1.177348024
278	1.177335247
279	1.177223496
280	1.176969625
281	1.176965974
282	1.176892734
283	1.176850477
284	1.176744349
285	1.176697191
286	1.176693718
287	1.176690419
288	1.17668443
289	1.176584708
290	1.176525602
291	1.176448147
292	1.176317558
293	1.176260307
294	1.176257779
295	1.176109047
296	1.176094712
297	1.176085503
298	1.176026838
299	1.175783315
300	1.175732399
301	1.175630395
302	1.175605517
303	1.175578301
304	1.175472348
305	1.175456667
306	1.175447654
307	1.175443058
308	1.175412788
309	1.175303529
310	1.175179588
311	1.175155553
312	1.175111708
313	1.174816334
314	1.174801241
315	1.174756122
316	1.174447402
317	1.174170992
318	1.174166416
319	1.174090247
320	1.173853855
321	1.173791613
322	1.173655453
323	1.17364738
324	1.173535861
325	1.173448836
326	1.173420314
327	1.173374797
328	1.173348155
329	1.173091466
330	1.172808862
331	1.172796805
332	1.172490503
333	1.172256042
334	1.172017128
335	1.171726143
336	1.171664367
337	1.171554979
338	1.17137787
339	1.171358428
340	1.171353232
341	1.17131389
342	1.171258004
343	1.170991011
344	1.170948568
345	1.170913601
346	1.170871318
347	1.170794353
348	1.170673463
349	1.170626105
350	1.170588977
351	1.170551447
