iter	Passed	Remaining
0	167	83580
1	190	47532
2	203	33708
3	215	26752
4	239	23722
5	262	21581
6	283	19991
7	307	18915
8	329	17976
9	355	17412
10	380	16917
11	405	16503
12	428	16060
13	453	15758
14	477	15431
15	502	15207
16	524	14908
17	547	14651
18	578	14644
19	602	14465
20	625	14263
21	647	14069
22	669	13888
23	690	13685
24	713	13550
25	736	13432
26	760	13325
27	786	13252
28	812	13189
29	836	13100
30	859	13006
31	883	12914
32	908	12853
33	931	12771
34	953	12672
35	976	12585
36	1021	12782
37	1059	12882
38	1082	12790
39	1104	12705
40	1127	12617
41	1149	12538
42	1174	12477
43	1197	12411
44	1220	12335
45	1243	12269
46	1270	12248
47	1297	12218
48	1323	12183
49	1349	12144
50	1375	12105
51	1398	12048
52	1421	11986
53	1444	11934
54	1467	11873
55	1490	11820
56	1513	11765
57	1536	11711
58	1560	11660
59	1581	11599
60	1615	11624
61	1645	11621
62	1677	11638
63	1729	11782
64	1762	11797
65	1792	11784
66	1831	11837
67	1857	11802
68	1880	11748
69	1906	11711
70	1931	11673
71	1957	11634
72	1980	11581
73	2003	11532
74	2042	11576
75	2065	11525
76	2087	11469
77	2109	11413
78	2130	11353
79	2152	11299
80	2173	11241
81	2195	11190
82	2219	11152
83	2242	11106
84	2272	11092
85	2294	11047
86	2316	10999
87	2340	10955
88	2362	10909
89	2385	10865
90	2406	10813
91	2426	10762
92	2451	10728
93	2475	10691
94	2514	10718
95	2543	10701
96	2574	10697
97	2746	11266
98	2790	11301
99	2816	11264
100	2841	11223
101	2864	11178
102	2888	11134
103	2911	11084
104	2936	11044
105	2958	10995
106	2982	10955
107	3006	10911
108	3029	10866
109	3051	10819
110	3077	10784
111	3098	10735
112	3120	10687
113	3144	10647
114	3168	10607
115	3192	10567
116	3215	10524
117	3238	10482
118	3262	10445
119	3289	10415
120	3312	10376
121	3335	10333
122	3358	10295
123	3382	10256
124	3405	10217
125	3456	10259
126	3559	10453
127	3589	10433
128	3640	10469
129	3665	10432
130	3718	10473
131	3776	10528
132	3803	10496
133	3826	10451
134	3851	10414
135	3883	10395
136	3920	10387
137	3943	10344
138	3966	10301
139	3989	10257
140	4013	10219
141	4038	10180
142	4067	10155
143	4109	10159
144	4160	10185
145	4189	10158
146	4281	10282
147	4331	10301
148	4364	10280
149	4408	10286
150	4452	10290
151	4506	10317
152	4551	10322
153	4573	10275
154	4596	10230
155	4619	10185
156	4642	10142
157	4666	10100
158	4689	10058
159	4714	10018
160	4740	9981
161	4765	9942
162	4789	9901
163	4813	9861
164	4836	9820
165	4861	9782
166	4885	9741
167	4909	9702
168	4938	9671
