iter	MAE	RMSE
0	0.9315457732	1.274987717
1	0.9115944833	1.240027616
2	0.8967529958	1.212280879
3	0.8805776272	1.193075118
4	0.874302318	1.188601169
5	0.8671201655	1.175738883
6	0.8624289958	1.170650633
7	0.8598364082	1.167939841
8	0.8559519416	1.163141375
9	0.8533510257	1.159709939
10	0.8485690067	1.155444802
11	0.8475167445	1.153622493
12	0.8475803026	1.153567794
13	0.8476812248	1.153567093
14	0.8459881829	1.151137327
15	0.8418406347	1.145504946
16	0.8360027186	1.136271379
17	0.8359513246	1.135819632
18	0.8334923127	1.134453208
19	0.8298958652	1.128514864
20	0.8210060932	1.114336963
21	0.8142607904	1.106914304
22	0.810984236	1.102000643
23	0.8084427153	1.098569361
24	0.8060346634	1.094244871
25	0.8042732086	1.091609705
26	0.8038135491	1.090937249
27	0.8015142359	1.088288311
28	0.7993448016	1.085678752
29	0.7965049093	1.083346998
30	0.7947761729	1.080409062
31	0.791980389	1.075088285
32	0.7882034082	1.067710719
33	0.7866831152	1.065868289
34	0.7853244829	1.064398886
35	0.7821719728	1.060520573
36	0.780922401	1.057835922
37	0.7796703126	1.056448309
38	0.7734469357	1.050287749
39	0.7696791566	1.04150027
40	0.7685512607	1.040455308
41	0.7681934221	1.040114159
42	0.7646133532	1.037271274
43	0.7637572749	1.036390509
44	0.7621667261	1.034951823
45	0.7594051009	1.030225461
46	0.7552850991	1.024587058
47	0.7551118821	1.024379017
48	0.7507702334	1.018067505
49	0.7479506619	1.01410702
50	0.7445824108	1.009818156
51	0.7397197852	1.002314274
52	0.7371968133	0.9976356878
53	0.732420309	0.990385801
54	0.7293698248	0.9863006984
55	0.7257340761	0.9823534923
56	0.7236579806	0.9804253597
57	0.7234693887	0.9802483802
58	0.7228252719	0.9797064483
59	0.7196620801	0.9745464704
60	0.7181252869	0.9721366059
61	0.7143081512	0.9684513274
62	0.7141474692	0.9683441206
63	0.7123421422	0.9657718242
64	0.7086767005	0.9612236256
65	0.7048085224	0.9554930593
66	0.7025245336	0.9521413305
67	0.7022136683	0.9519137417
68	0.6989013887	0.9485366096
69	0.6967026182	0.9445680642
70	0.6946185869	0.9414431247
71	0.6926540741	0.9380727411
