iter	Passed	Remaining
0	155	15346
1	199	9771
2	245	7927
3	294	7060
4	314	5968
5	372	5835
6	437	5811
7	461	5306
8	517	5230
9	575	5178
10	627	5076
11	673	4936
12	700	4690
13	708	4350
14	759	4303
15	813	4270
16	882	4310
17	919	4188
18	943	4020
19	998	3994
20	1052	3959
21	1156	4099
22	1230	4118
23	1300	4117
24	1383	4151
25	1503	4279
26	1533	4147
27	1653	4252
28	1704	4172
29	1754	4094
30	1799	4004
31	1849	3929
32	1898	3855
33	1947	3780
34	1997	3710
35	2059	3660
36	2121	3613
37	2181	3558
38	2240	3504
39	2296	3444
40	2348	3380
41	2400	3315
42	2456	3256
43	2506	3190
44	2559	3128
45	2613	3068
46	2670	3011
47	2727	2954
48	2791	2905
49	2850	2850
50	2908	2794
51	2967	2739
52	3025	2682
53	3085	2628
54	3144	2573
55	3205	2518
56	3261	2460
57	3321	2405
58	3377	2347
59	3428	2285
60	3477	2223
61	3527	2161
62	3575	2099
63	3624	2038
64	3674	1978
65	3723	1918
66	3773	1858
67	3826	1800
68	3874	1740
69	3925	1682
70	3977	1624
71	4027	1566
